"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"310M700US10140","Aberdeen, WA Micro Area","31968","1185","10.1","3.3","3.0","1.6","7.8","3.3","9.4","2.9","12.2","3.4","16.8","2.9","11.9","2.7","17.0","3.7","5.0","2.4","6.7","2.5","59619","6181","80844","9335","32.6","(X)","(X)","(X)","(X)","(X)","18313","1381","6.0","3.5","1.3","1.2","4.7","3.9","8.0","3.5","10.9","4.3","15.4","3.9","16.7","3.3","22.8","5.2","4.5","2.4","9.8","3.9","79824","8499","94321","11117","(X)","(X)","36.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","85759","14276","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13655","1450","16.9","6.2","6.4","3.7","11.1","4.2","11.5","4.7","14.5","5.7","17.1","5.1","7.1","3.5","9.1","4.6","4.4","3.9","2.0","2.6","38601","4642","59566","16227","(X)","(X)","(X)","(X)","25.4","(X)",
"310M700US10180","Abilene, TX Metro Area","66099","2045","5.2","2.0","3.6","1.5","7.2","1.6","9.2","2.6","14.1","2.7","17.6","3.0","10.7","2.2","18.2","2.7","6.3","1.7","7.8","2.1","63390","7471","88473","5797","34.1","(X)","(X)","(X)","(X)","(X)","40689","2513","2.2","1.3","1.2","0.8","3.7","1.5","6.1","2.7","12.8","2.9","17.9","3.7","12.0","2.6","24.4","3.5","8.4","2.7","11.4","2.8","87293","8344","110156","8062","(X)","(X)","38.5","(X)","(X)","(X)","29485","2141","1.4","0.9","0.1","0.2","2.4","1.6","4.4","2.7","8.3","2.6","18.3","4.3","12.1","3.1","28.4","4.4","10.4","3.3","14.2","3.6","104242","5239","N","N","(X)","(X)","(X)","(X)","(X)","(X)","25410","2277","11.1","4.5","7.5","3.4","12.6","3.3","14.7","4.4","16.9","4.9","17.9","4.8","8.2","3.2","7.3","3.7","1.9","1.7","1.8","1.6","38219","4123","49948","4917","(X)","(X)","(X)","(X)","26.3","(X)",
"310M700US10300","Adrian, MI Micro Area","39744","1131","4.6","1.9","2.2","1.1","7.3","1.9","5.8","1.5","11.1","2.1","21.8","3.1","13.4","2.4","19.8","3.3","8.3","2.0","5.6","1.8","71632","2770","88482","6390","41.0","(X)","(X)","(X)","(X)","(X)","26839","1609","2.8","1.7","1.3","0.7","4.8","1.8","4.5","2.0","10.8","2.9","20.6","3.5","13.8","2.7","24.5","4.0","10.1","2.6","6.8","2.4","82484","6639","99874","8790","(X)","(X)","41.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","100455","7170","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12905","1587","9.6","4.1","4.7","3.1","15.2","4.9","8.0","2.9","15.7","3.7","21.5","5.5","12.3","4.6","7.1","3.8","2.7","2.1","3.1","2.7","47509","6982","57198","6740","(X)","(X)","(X)","(X)","34.9","(X)",
"310M700US10380","Aguadilla, PR Metro Area","86238","3112","20.7","2.6","12.8","2.3","17.8","2.6","14.4","2.5","14.3","2.2","9.6","1.7","4.3","1.3","3.4","1.2","1.9","0.9","0.8","0.7","24351","1426","35381","2643","27.0","(X)","(X)","(X)","(X)","(X)","53278","3199","11.1","2.3","8.5","2.0","17.5","3.0","16.8","3.2","18.4","2.9","13.2","2.6","6.2","1.8","4.4","1.7","2.6","1.4","1.4","1.1","31875","1993","44370","3727","(X)","(X)","32.7","(X)","(X)","(X)","35333","2605","5.3","1.9","7.1","2.3","13.0","3.4","18.7","3.9","20.8","4.0","16.4","4.0","8.0","2.5","5.4","2.4","3.3","1.9","2.1","1.6","37954","2412","N","N","(X)","(X)","(X)","(X)","(X)","(X)","32960","3063","37.4","5.1","20.4","4.6","19.4","3.8","10.4","3.1","5.5","2.3","3.4","1.6","1.2","1.2","1.8","1.5","0.5","0.6","0.0","0.8","12426","1324","19485","2592","(X)","(X)","(X)","(X)","17.5","(X)",
"310M700US10420","Akron, OH Metro Area","303143","2832","5.5","0.9","3.1","0.5","6.6","0.9","7.2","0.9","12.0","1.1","17.6","1.2","13.5","1.5","18.1","1.4","8.4","0.9","8.0","0.7","71364","1942","95566","3258","33.4","(X)","(X)","(X)","(X)","(X)","183487","4378","3.1","1.0","1.5","0.5","3.1","0.9","4.8","1.0","8.8","1.2","16.9","1.6","15.9","2.0","22.4","2.0","11.5","1.4","12.0","1.2","92087","3752","118332","5105","(X)","(X)","33.8","(X)","(X)","(X)","133362","4610","1.5","0.6","0.7","0.4","1.6","0.6","2.7","0.8","6.6","1.2","14.7","1.7","16.4","2.2","25.6","2.4","14.3","1.7","16.0","1.5","109083","5027","137881","6656","(X)","(X)","(X)","(X)","(X)","(X)","119656","4471","9.9","1.4","5.9","1.1","12.3","1.8","11.1","1.6","18.2","2.1","18.5","2.2","9.2","1.6","10.0","2.0","3.1","1.0","1.8","0.4","43135","2221","57255","2987","(X)","(X)","(X)","(X)","31.6","(X)",
"310M700US10460","Alamogordo, NM Micro Area","25562","1278","7.3","4.1","3.1","1.6","11.5","3.9","10.8","3.8","13.9","4.3","16.6","4.1","13.2","3.6","11.5","3.5","6.8","3.2","5.3","2.5","56354","7148","73334","7106","32.6","(X)","(X)","(X)","(X)","(X)","15239","1490","2.6","2.1","3.6","1.9","9.7","5.3","11.3","4.1","11.6","4.8","15.2","4.6","10.8","3.9","17.2","6.5","10.0","4.7","8.1","4.3","67299","13586","89723","10757","(X)","(X)","37.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","74934","19070","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10323","1543","15.6","9.5","2.5","2.4","14.1","6.6","12.0","6.1","18.6","8.6","16.1","6.4","14.6","6.5","5.0","3.1","0.2","0.3","1.3","1.7","36413","3550","45272","5968","(X)","(X)","(X)","(X)","25.3","(X)",
"310M700US10500","Albany, GA Metro Area","56259","2057","7.9","1.9","6.5","1.5","8.9","2.0","9.0","2.1","11.8","2.4","19.0","2.8","14.1","2.7","12.2","2.6","6.0","1.9","4.7","1.5","56851","4592","72736","4466","45.8","(X)","(X)","(X)","(X)","(X)","35599","2328","4.9","2.1","4.7","1.9","6.3","2.1","9.5","2.9","10.5","2.8","17.6","3.2","17.1","3.6","16.5","3.6","6.2","2.1","6.7","2.2","67526","6872","84087","5454","(X)","(X)","47.0","(X)","(X)","(X)","21564","2197","1.5","1.0","2.2","1.5","3.0","1.8","5.3","2.3","6.7","2.3","17.0","4.3","20.8","5.2","23.6","5.5","10.0","3.6","10.0","3.3","88960","6147","N","N","(X)","(X)","(X)","(X)","(X)","(X)","20660","2377","12.9","4.0","9.6","2.9","14.6","3.9","9.1","3.3","14.1","5.1","21.6","5.2","9.6","4.2","4.6","2.2","2.8","2.1","1.2","1.4","38593","7635","49230","7366","(X)","(X)","(X)","(X)","39.8","(X)",
"310M700US10540","Albany, OR Metro Area","50968","1262","6.4","2.2","2.2","0.8","8.1","2.5","6.8","1.5","9.5","2.7","13.4","2.6","18.2","3.4","22.6","4.0","6.8","1.8","6.0","1.7","80422","7200","88678","5123","29.8","(X)","(X)","(X)","(X)","(X)","33666","1935","4.4","2.3","1.0","0.5","4.5","2.1","4.0","1.6","9.5","2.9","12.9","3.0","20.3","4.6","27.2","5.1","7.9","2.5","8.3","2.5","92282","4747","102819","7002","(X)","(X)","28.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","99227","5590","N","N","(X)","(X)","(X)","(X)","(X)","(X)","17302","1870","15.4","6.1","5.0","2.2","16.3","5.8","11.6","4.1","11.8","4.4","12.2","4.6","11.4","4.6","13.0","4.8","2.6","2.1","0.7","1.0","36749","11329","51401","6235","(X)","(X)","(X)","(X)","31.1","(X)",
"310M700US10580","Albany-Schenectady-Troy, NY Metro Area","398349","3253","5.2","0.6","3.2","0.7","5.5","0.8","5.2","0.6","8.3","0.7","15.9","1.1","12.9","0.9","18.8","0.9","12.0","1.0","13.0","0.9","86637","2732","113513","3316","36.6","(X)","(X)","(X)","(X)","(X)","228679","5409","2.3","0.7","1.6","0.5","3.2","0.6","2.5","0.5","5.9","0.9","13.2","1.2","12.0","1.1","23.1","1.3","17.0","1.4","19.2","1.3","116748","3554","141657","4438","(X)","(X)","37.3","(X)","(X)","(X)","170646","4778","0.7","0.4","0.6","0.3","1.9","0.6","1.6","0.4","4.3","0.9","10.1","1.2","11.3","1.2","24.4","1.5","20.6","1.8","24.4","1.6","140182","3292","163018","5462","(X)","(X)","(X)","(X)","(X)","(X)","169670","5618","10.0","1.3","5.7","1.3","9.2","1.6","8.4","1.0","11.6","1.4","20.9","2.1","13.9","1.4","12.3","1.0","4.3","0.9","3.7","0.8","54993","2318","71421","4362","(X)","(X)","(X)","(X)","34.2","(X)",
